Date,TS1-S_370,TS2-S_376,TS3-S_21885,TS4-S_434,TS5-S_445,TS6-S_21895
5/30/2012,550.1904,1727.4578,1423.9596,2568.2676,2396.08,1097.9133
6/14/2012,550.8096,1604.1144,1549.8918,2500.9128,2524.3875,1012.6784
6/29/2012,534.7254,1433.9589,1596.1594,2382.1372,2549.6123,903.17944
7/14/2012,521.03864,1302.6516,1694.9735,2311.409,2541.5198,768.44934
7/30/2012,510.31494,1169.573,1782.6431,2186.5933,2431.0376,682.03314
8/14/2012,515.3782,1177.8729,1866.7726,2044.1346,2266.9407,860.9194
8/30/2012,525.3946,1406.6382,1947.433,1899.2826,2159.685,1050.2445
9/14/2012,539.40656,1748.7788,2101.4048,1784.3835,2011.6929,1324.7267
9/29/2012,542.1243,2120.7249,2254.3289,1700.273,1854.9384,1800.5206
10/14/2012,552.3345,2342.3074,2360.8242,1616.0322,1662.2659,2189.7712
10/30/2012,551.7859,2383.1409,2359.5886,1544.2452,1228.6718,2197.597
11/14/2012,545.05396,2330.2612,2327.8381,1558.8096,1124.815,2104.43
11/29/2012,537.8797,2299.0164,2291.2236,1747.7253,1002.22595,2119.9617
12/14/2012,537.7972,2247.302,2166.4634,1918.4158,957.78644,1992.6295
12/30/2012,530.3147,2111.896,2101.7769,2222.211,1012.5513,1872.4813
1/14/2013,532.6176,2086.974,2058.9272,2523.6497,1195.3649,1748.5289
1/30/2013,537.4185,2069.406,1941.7026,2580.508,1362.3846,1832.2388
2/14/2013,545.6318,2092.708,1857.8248,2525.9,1439.0343,1956.7622
2/27/2013,554.7078,2130.565,1783.9972,2441.5913,1425.6772,1916.9794
3/14/2013,559.6021,2148.0222,1657.136,2345.045,1346.4473,1764.2072
3/30/2013,555.17633,2126.224,1593.3374,2283.7153,1319.3213,1596.1079
4/14/2013,586.8276,2178.951,1440.2134,2304.2686,1452.0579,1503.087
4/29/2013,615.57733,2233.637,1386.0278,2365.6062,1949.6499,1351.7518
5/14/2013,624.2941,2227.0156,1449.3759,2443.6338,2193.4714,1338.4624
5/30/2013,600.7402,2001.2968,1522.7587,2517.68,2342.8384,1162.6608
6/14/2013,574.39185,1789.3527,1518.3792,2481.664,2371.4236,1009.1492
6/29/2013,562.1517,1586.3315,1482.516,2369.369,2351.2964,876.99994
7/14/2013,547.0749,1416.5616,1392.6028,2230.461,2269.045,755.4849
7/30/2013,541.5824,1329.8322,1280.5974,2100.6455,2127.439,596.3259
8/14/2013,544.5225,1311.5001,1285.926,1996.8265,1975.9283,443.0624
8/30/2013,533.3153,1383.3477,1398.9194,1937.8096,1765.7998,486.0184
9/14/2013,529.7895,1587.8004,1645.6001,1882.4672,1561.8733,829.2
9/29/2013,541.38776,1813.5986,1874.012,1865.4445,1360.2458,1372.9261
10/14/2013,541.5571,1972.1101,2013.1127,1825.4507,1176.933,1710.3367
10/30/2013,544.2875,2112.8992,2116.0369,1765.2047,734.6927,1985.8108
11/14/2013,523.7275,2046.7717,2131.8481,1666.2848,580.547,2106.2446
11/29/2013,508.63974,1989.6177,2177.124,1553.9384,453.0607,2200.7004
12/14/2013,495.36945,1904.2498,2134.9333,1555.1716,366.91632,2141.1396
12/30/2013,471.7192,1806.2592,2093.0776,1732.3514,371.57983,2016.5713
1/14/2014,460.79126,1751.1038,2037.5692,1923.3813,513.3685,1939.4078
1/30/2014,453.3555,1724.9222,1958.1592,2019.7384,661.4299,1917.7504
2/14/2014,459.13297,1766.4559,1868.2686,2031.4116,763.9644,1763.9991
2/27/2014,469.97644,1810.9929,1774.1451,2140.2107,925.21844,1617.6859
3/14/2014,484.11145,1849.535,1689.8413,2225.5103,1049.267,1479.6373
3/30/2014,505.2164,1902.492,1627.3158,2353.3933,1227.3082,1421.931
4/14/2014,527.1875,1979.8069,1656.1324,2506.3267,1346.9891,1518.4867
4/29/2014,527.20935,2011.3115,1666.098,2617.3865,1611.9592,1538.5635
5/14/2014,526.03064,2033.5349,1683.1232,2601.4456,1686.6936,1573.3304
